TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
2,,1,1,20101001,DVM 2838 CG - 200 (35-60) SN,BH
ACC PINTU,CAMPUR,DOOR VIEWER,OMGE,,,
,PINTU,,,,,
,,,2,20102001,03 GP,BH
,,,ZP,,,
,,,,,,
,,,3,20103001,DV 837,BH
,,,DEKKSON,,,
,,,,,,
,,,,,,
,,2,1,20201001,GRENDEL D 8660 GP,BH
,,DOOR BOLT,ALBION,20201002,GRENDEL TANAM D 8660 E SN,BH
,,,,20201003,WINDOW LOCK SALAME DL 659 SN,BH
,,,,,,
,,,2,20202001,DBM 660 A SN,BH
,,,OMGE,20202002,DBM 660 SN,BH
,,,,,,
,,3,1,20301001,DAM 108 US32D,BH
,,DOOR CHAIN,OMGE,,,
,,,,,,
,,4,1,20401001,B 29 GP,BH
,,DOOR GUARD,ELT,20401002,B 29 AC,BH
,,,,,,
,,,2,20402001,DUM 628 SN,BH
,,,OMGE,,,
,,,,,,
,,5,1,20501001,SINGA KECIL AB,BH
,,DOOR KNOCKER,,20501002,SINGA BESAR AB,BH
,,,,,,
,,6,1,20601001,DPM 299 US32D,BH
,,LUBANG GRENDEL ,OMGE,20601002,DPM 299 L SN,BH
,,TANAM,,,,
,,,2,20602001,SN,BH
,,,MILANO,,,
,,,,,,
,,7,1,20701001,SILVER,BH
,,KUNCI OTOMATIS,FLY GLOBE,,,
,,,,,,
,,,2,20702001,GOLD,BH
,,,VYBA ,,,
,,,,,,
,,,3,20703001,D898 SN/CP,BH
,,,DUMONT,,,
,,,,,,
,,8,1,20801001,SWING AL KC 5128 PJ,BH
,,KUNCI ,HAMPTON,20801002,SWING AL KC 5128 PD,BH
,,ALUMINIUM,,,,
,,,2,20802001,SLIDING LC D71 23 AL HOOK,BH
,,,DUMONT,20802002,LC D81 23 AL SWING,BH
,,,,,,
,,,3,20803001,9928,BH
,,,SPARTAN,,,
,,,,,,
,,,4,20804001,LCM 2847A US32D,BH
,,,OMGE,20804002,LCM 2847B US32D,BH
,,,,,,
,,,5,20805001,CM 5123,BH
,,,CISMA,,,
,,,,,,
,,,6,20806001,SLIDING AL KC 4423,BH
,,,BREMEN,,,
,,,,,,
,,,,,,
,,9,1,20902001,SHAF DOORLOCK SLM 012,BH
,,KUNCI ,OMGE,,,
,,TAMBAHAN,,,,
,,,,,,
,,10,1,21001001,KASA MILANO MLL 901 WHT,SET
,,KUNCI EXPANDA,MILANO,,,
,,,,,,
,,,2,21002001,KASA 999 WH,SET
,,,INTERKEY,,,
,,,,,,
,,11,1,21101001,ZY 178 A (CC 200XCC500) PSS,PS
,,PH SHOWER,EGO,,,
,,,,,,
,,,2,21102001,HPT 814 25X200X500 PSS,PS
,,,HAMPTON,,,
,,,,,,
,,,3,21103001,PHM 2820P D25 200X500 US32D,PS
,,,OMGE,21103002,PHM 1810 D19 0X500 US32,PS
,,,,21103003,PHM 2860P 200X500 US32,PS
,,,,,,
,,12,1,21201001,SPM 800,PS
,,SPRINGHINGE,OMGE,,,
,,,,,,
,,,,,,
,,13,1,21301001,"COBOY 3""",PS
,,ENGSEL PER ANGIN,BAB,21301002,"COBOY 4""",PS
,,,,21301003,"COBOY 5""",PS
,,,,21301004,"COBOY 6""",PS
,,,,,,
,,14,1,21401001,IHM 140-19X95 US32D,PS
,,ENGSEL INVICIBLE,OMGE,21401002,IHM 140-28.5X118 US32D,PS
,,,,21401003,IHM 120 W ,PS
,,,,21401004,IHM 80 W ,PS
,,,,21401005,IHM 40 W ,PS
,,,,,,
,,15,1,21501001,B 22 N,BH
,,,ELT,21501002,B 22 SN,BH
,,,,21501003,B 22 GP,BH
,,,,21501004,B 22 AC,BH
,,,,,,
,,16,1,21601001,GLM 911 D US32D ,SET
,,GLASS DOOR LOCK,OMGE,21601002,GLM 911 S US32D,SET
,,,,21601003,GLM 937 L-D US32,SET
,,,,21601004,GLM 937 L-S US32,BH
,,,,21601005,GLM 990 S US32D,SET
,,,,21601006,GLM 990 D US32D,BH
,,,,21601007,GLM 900A 7B US32D,BH
,,,,21601008,GLM 934K D US32,SET
,,,,21601009,GLM 937K D US32,SET
,,,,21601010,GLM 938 D US32,SET
,,,,21601011,GLM 935K S US32,SET
,,,,21601012,GLM 937K S US32,SET
,,,,21601013,GLM 938 S US32,SET
,,,,21601014,DGM GLM 860A-8A,BH
,,,,21601015,DGM GLM 860A-8,BH
,,,,21601016,GLM 939 US 32 + GLM 939 STRIKE R US32,SET
,,,,21601017,GLM 939 US 32 + GLM 939 STRIKE L US33,SET
,,,,21601018,GLM 446 S US32D,BH
,,,,21601019,GLM 446 D US32D,BH
,,,,,,
,,,2,21602001,PF GL 621-1 CP,SET
,,,ROWELL,,,
,,,,,,
,,17,1,21701001,SHM 0527 US32D,BH
,,GLASS DOOR HINGE,OMGE,,,
,,,,,,
,,18,1,21801001,GCM 410-2 (GG 135),BH
,,GLASS CONECTOR,OMGE,21801002,GCM 410-1 (GG 90),BH
,,,,21801003,GCM 1057 US32D,BH
,,,,21801004,GCM 830-06 P,BH
,,,,21801005,GCM 830-06 A,BH
,,,,21801006,GCM 830A-10A,BH
,,,,21801007,GCM 802 US32,BH
,,,,21801008,GCM 830-06,BH
,,,,21801009,GCM 830-14A,BH
,,,,21801010,GCM 801 US32D,BH
,,,,21801011,GCM 810-4,BH
,,,,21801012,GCM 810-1,BH
,,,,21801013,GCM 810-2,BH
,,,,21801014,GCM 810-3,BH
,,,,21801015,GCM 276-3 US32 (GG 180),BH
,,,,21801016,GCM 276-5 US32D (GW 0),BH
,,,,21801017,GCM 276-4 US32 (GW 90),BH
,,,,21801018,GCM 220 W US32D,BH
,,,,,,
,,19,1,21901001,RFM 11-1 US32D,BH
,,REINFORCEMENT ,OMGE,21901002,RFM 11-2 US32D,BH
,,FIT,,21901003,RFM 11-3 US32D,BH
,,,,21901004,RFM 12 US32D,BH
,,,,21901005,RFM 12-1 US32D,BH
,,,,21901006,RFM 12-2 US32D,BH
,,,,21901007,RFM 13-1 US32D,BH
,,,,21901008,RFM 13-2 US32D,BH
,,,,21901009,RFM 15 US32D,BH
,,,,,,
,,20,1,22001001,TCM 439,BH
,,TOILET CONNECTOR,OMGE,22001002,"TCM 204-6"" ",BH
,,,,22001003,"TCM 240-4"" US32D",BH
,,,,22001004,"TCM 240-6"" US32D",BH
,,,,,,
,,21,1,22101001,902-3C,BH
,,ELECTRIK LOCK,POWER,22101002,902-3X,BH
,,,SUPLAY,,,
,,,,,,
,,,2,22102001,UP 220,BH
,,,BRACKET,22102002,DOWN 220,BH
,,,,22102003,DOWN 235,BH
,,,,,,
,,,3,22103001,2645 MILKY,BH
,,,KEYPAD,22103002,2645 HDS DARK,BH
,,,,,,
,,,4,22104001,ALBION MC 300 L,BH
,,,MAGNETIC,,,
,,,LOCK,,,
,,,,,,
,,,5,22105001,EC 220 H,BH
,,,ELECTRIK,22105002,EC 235 H,BH
,,,BOLT,,,
,,,,,,
,,,6,22106001,EL 3211 K/R,BH
,,,ELECTRIK,22106002,EL 3211 K/L,BH
,,,STRIKE,,,
,,,,,,
,,,7,22107001,ALBION,BH
,,,KARTU,,,
,,,,,,
,,,8,22108001,FM 1270,BH
,,,J.POWER,,,
,,,,,,
,,22,1,22201001,EPM 0045 SN,BH
,,EDGE PULL,OMGE,,,
,,,,,,
,,23,1,22301001,PHM 2850 H-11-US 32,PS
,,PH KACA,OMGE,22301002,PHM 2850 H-11-US 32 D,PS
,,,,22301003,PHM 2850 S-03-US 32 ,PS
,,,,22301004,PHM 2850 S-03-US 32 D,PS
,,,,22301005,PHM 2850 S-07L-US 32 ,PS
,,,,22301006,PHM 2850 S-04-US 32,PS
,,,,22301007,PHM 2850 S-09-US 32,PS
,,,,22301008,PHM 2850 S-06-US 32,PS
,,,,22301009,PHM 2850 S-10-US 32D,PS
,,,,22301010,PHM 2850 S-05-US 32,PS
,,,,,,
,,24,1,22401001,FLM 109-D64-US32D,PS
,,FLUSH HANDLE /,OMGE,,,
,,DOOR KNOB,,,,
,,,2,22602001,DK 8716 58MM SS,PS
,,,DEKKSON,,,
,,,,,,
,,25,1,22501001,DLM 219-70 SN,SET
,,DIGITAL LOCK,OMGE,22501002,DLM 209A 70 MM SN,SET
,,,,,,
,,26,1,22601001,HSM-ST-EP18-US32D,BH
,,HANDRAIL STUD,OMGE,22601002,HSM-ST-EP15-US32D,BH
,,,,22601003,HSM-ST-EP25-US32D,BH
,,,,22601004,HSM-ST-EP34-US32D,BH
,,,,22601005,HSM-ST-EP23-US32D,BH
,,,,22601006,HSM-ST-EP10-US32D,BH
,,,,22601007,HSM-ST-EP12-US32D,BH
,,,,22601008,HSM-ST-YS17.SC.SBH-US32D+A9,BH
,,,,22601009,HSM-ST.YS05.SC.SGH-US32D,BH
,,,,22601010,HSM-ST-YS24.SC.SBH-US32,BH
,,,,22601011,HSM-ST-EP922 US32D,BH
,,,,22601012,HSM-ST-EP922Q US32D,BH
,,,,22601013,HSM-ST-EP912 US32D,BH
,,,,22601014,HSM-ST-YS24.SC.SBH-US32D,BH
,,,,22601015,HSM-ST-EP912 E US32D,BH
,,,,22601016,HSM-ST-EP912 US33D (TIANG SAJA),BH
,,,,,,
,,,2,22602001,HSL-ST-EP301-US32D,BH
,,,MILANO,,,
,,,,,,
,,27,1,22701001,HSM EC 1801 US32,BH
,,HANDRAIL END CUP,OMGE,,,
,,,,,,
,,28,1,22801001,HSM CN 1506 US32,BH
,,HANDRAIL CONNECTOR,OMGE,22801002,HSM CN 1016 US32D,BH
,,,,22801003,HSM CN 905B US32D,BH
,,,,22801004,HSM CN 908A US32D,BH
,,,,22801005,HSM CN EPC 1 US32D,BH
,,,,22801006,HSM CN EPC 2 US32D (SOLID FULL),BH
,,,,,,
,,29,1,22901001,GSL 701 US32,BH
,,GLASS SPIGOT,MILANO,,,
,,,,,,
,,30,1,23001001,DHM 3001 BH US32D (L),SET
,,DOOR CLOSER HINGE,OMGE,,,
,,,,,,
,,31,1,23101001,SND 080 US32D (EN2),SET
,,DOOR CLOSER PATCH,OMGE,23101002,SND 150W US32D (EN4),SET
,,,,,,
,,32,1,23201001,PEM 301 S,BH
,,PANIC BAR,OMGE,23201002,PEM 300 BLACK-RED,BH
,,,,23201003,PEM 310 BLACK RED,BH
,,,,,,
,,33,1,23301001,PEM OH 015 SILVER L (CW300),BH
,,PANIC OS HANDLE,OMGE,23301002,PEM OH 016 SN (CW3015),BH
,,,,,,
,,34,1,23401001,PEM LC 2810 60X72 SN + CYL PCM S31X31 DBL W/3 RSN,BH
,,BODY PANIC,OMGE,,,
,,,,,,
,,35,1,23501001,DGM TH 8600 4NW CPN,BH
,,HANGER,OMGE,23501002,DGM TH 5500 1,BH
,,,,23501003,DGM TH 8600 2 NWL,BH
,,,,23501004,DGM TH 8600 4 NWL,BH
,,,,23501005,DGM TH 5500 4,BH
,,,,,,
,,36,1,23601001,DGM TB 5500 E1,BH
,,BRACKET,OMGE,23601002,DGM TB 5500 E2,BH
,,,,23601003,DGM TB 5500 C1,BH
,,,,23601004,DGM TB 5500 C2,BH
,,,,23601005,DGM TB 5500 W1,BH
,,,,23601006,DGM TB 5500 G1,BH
,,,,23601007,DGM TB 8600 C (STEEL),BH
,,,,23601008,DGM TB 5500 W2,BH
,,,,23601009,DGM TB 5500 G2,BH
,,,,,,
,,37,1,23701001,DGM TP 8600 E,BH
,,TOP PIVOT,OMGE,23701002,DGM TP 8600 M,BH
,,,,,,
,,38,1,23801001,DGM FG 8600 F,BH
,,FLOOR GUIDE,OMGE,,,
,,,,,,
,,39,1,23901001,CSM 910T 3 US32D,BH
,,CANOPY SYSTEM,OMGE,23901002,CSM 910T 1 US32D,BH
,,,,23901003,CSM 910T 2 US32D,BH
,,,,,,
,,40,1,24001001,DGM ST 5500,BH
,,STOPPER,OMGE,24001002,DGM ST 8600,BH
,,,,,,
,,41,1,24101001,DGM GU 5500,BH
,,DROPPER GUARD,OMGE,,,
,,,,,,
,,42,1,24201001,GTM 830D-4,SET
,,GLASS STOPPER,OMGE,24201002,GTM 830D-5,SET
,,,,,,
,,43,1,24301001,PCM-S,BH
,,BLANK KEY,OMGE,24301002,PCM-D,BH
,,,,,,
,,44,1,24401001,SWING UPPER 451.42,BH
,,HINGE,HI MOTION,24401002,SWING LOWER 455.4,BH
,,,,,,
,,45,1,24501001,DEM 23 HF,BH
,,DOOR SEAL,OMGE,24501002,DEM 26 SF (12/2500),BH
,,,,24501003,DEM 26 SF (10/2300),BH
,,,,,,
,,46,2,24602001,ELECTRIC LOCK ELC 9317 MF FIN PAS BT(L/R) BK,PS
,,SMARTLOCK,DEKKSON,24602002,ELECTRIC LOCK ERC 9307 MF FIN PAS BT BK,PS
,,,,24602003,ELECTRIC LOCK ELC 9327 MF FIN PAS BT(L/R) CHROME SILVER,PS
,,,,24602004,ELECTRIC LOCK EL 9112 MF FIN PAS METALIC BK,PS
,,,,,,
,,47,1,24701001,AB,BH
,,DEADBOLT ,STARCK,24701002,SN,BH
,,,,24701003,BLACK,BH
,,,,,,
,,48,1,24801001,104.160,BH
,,WHEEL,HI MOTION,24801002,102.120,BH
,,,,24801003,102.100,BH
,,,,24801004,104.140,BH
,,,,,,
,,49,1,24901001,WHITE 220.3,BH
,,NYLON,HI MOTION,,,
,,,,,,
,,50,1,,BCM 530 US32D,BH
,,PELOR,OMGE,,BCM 500 US33D,BH